Serial setup.
Timer 1 setup for 25 kHz PWM.
Tachometer setup.
Timer 1 setup for control loop.
A1 = 157,	 pwm = 49,	 tach = 5
A1 = 160,	 pwm = 50,	 tach = 5
A1 = 159,	 pwm = 49,	 tach = 5
A1 = 161,	 pwm = 50,	 tach = 4
A1 = 160,	 pwm = 50,	 tach = 5
A1 = 168,	 pwm = 52,	 tach = 5
A1 = 174,	 pwm = 54,	 tach = 5
A1 = 178,	 pwm = 55,	 tach = 5
A1 = 178,	 pwm = 55,	 tach = 5
A1 = 179,	 pwm = 55,	 tach = 5
A1 = 181,	 pwm = 56,	 tach = 5
A1 = 187,	 pwm = 58,	 tach = 6
A1 = 194,	 pwm = 60,	 tach = 6
A1 = 193,	 pwm = 60,	 tach = 5
A1 = 194,	 pwm = 60,	 tach = 5
A1 = 199,	 pwm = 62,	 tach = 5
A1 = 209,	 pwm = 65,	 tach = 6
A1 = 211,	 pwm = 65,	 tach = 6
A1 = 211,	 pwm = 65,	 tach = 5
A1 = 212,	 pwm = 66,	 tach = 6
A1 = 224,	 pwm = 70,	 tach = 5
A1 = 230,	 pwm = 71,	 tach = 6
A1 = 230,	 pwm = 71,	 tach = 5
A1 = 230,	 pwm = 71,	 tach = 6
A1 = 231,	 pwm = 72,	 tach = 6
A1 = 243,	 pwm = 75,	 tach = 5
A1 = 244,	 pwm = 76,	 tach = 7
A1 = 244,	 pwm = 76,	 tach = 6
A1 = 244,	 pwm = 76,	 tach = 6
A1 = 253,	 pwm = 79,	 tach = 6
A1 = 259,	 pwm = 80,	 tach = 6
A1 = 259,	 pwm = 80,	 tach = 6
A1 = 260,	 pwm = 81,	 tach = 6
A1 = 267,	 pwm = 83,	 tach = 6
A1 = 277,	 pwm = 86,	 tach = 7
A1 = 281,	 pwm = 87,	 tach = 6
A1 = 281,	 pwm = 87,	 tach = 6
A1 = 281,	 pwm = 87,	 tach = 7
A1 = 285,	 pwm = 89,	 tach = 6
A1 = 293,	 pwm = 91,	 tach = 6
A1 = 297,	 pwm = 92,	 tach = 7
A1 = 296,	 pwm = 92,	 tach = 6
A1 = 297,	 pwm = 92,	 tach = 7
A1 = 300,	 pwm = 93,	 tach = 6
A1 = 302,	 pwm = 94,	 tach = 7
A1 = 303,	 pwm = 94,	 tach = 7
A1 = 302,	 pwm = 94,	 tach = 7
A1 = 302,	 pwm = 94,	 tach = 7
A1 = 302,	 pwm = 94,	 tach = 6
A1 = 302,	 pwm = 94,	 tach = 7
A1 = 303,	 pwm = 94,	 tach = 7
A1 = 302,	 pwm = 94,	 tach = 6
A1 = 302,	 pwm = 94,	 tach = 8
A1 = 303,	 pwm = 94,	 tach = 7
A1 = 307,	 pwm = 95,	 tach = 7
A1 = 310,	 pwm = 96,	 tach = 6
A1 = 312,	 pwm = 97,	 tach = 7
A1 = 312,	 pwm = 97,	 tach = 7
A1 = 312,	 pwm = 97,	 tach = 6
A1 = 317,	 pwm = 99,	 tach = 7
A1 = 326,	 pwm = 101,	 tach = 8
A1 = 326,	 pwm = 101,	 tach = 7
A1 = 326,	 pwm = 101,	 tach = 7
A1 = 328,	 pwm = 102,	 tach = 7
A1 = 329,	 pwm = 102,	 tach = 7
A1 = 329,	 pwm = 102,	 tach = 7
A1 = 329,	 pwm = 102,	 tach = 7
A1 = 329,	 pwm = 102,	 tach = 8
A1 = 331,	 pwm = 103,	 tach = 6
A1 = 340,	 pwm = 106,	 tach = 8
A1 = 341,	 pwm = 106,	 tach = 7
A1 = 340,	 pwm = 106,	 tach = 7
A1 = 349,	 pwm = 109,	 tach = 7
A1 = 352,	 pwm = 110,	 tach = 7
A1 = 352,	 pwm = 110,	 tach = 7
A1 = 356,	 pwm = 111,	 tach = 7
A1 = 359,	 pwm = 112,	 tach = 9
A1 = 365,	 pwm = 114,	 tach = 7
A1 = 365,	 pwm = 114,	 tach = 7
A1 = 366,	 pwm = 114,	 tach = 8
A1 = 381,	 pwm = 119,	 tach = 7
A1 = 384,	 pwm = 120,	 tach = 8
A1 = 384,	 pwm = 120,	 tach = 8
A1 = 388,	 pwm = 121,	 tach = 8
A1 = 402,	 pwm = 125,	 tach = 7
A1 = 402,	 pwm = 125,	 tach = 8
A1 = 402,	 pwm = 125,	 tach = 8
A1 = 412,	 pwm = 128,	 tach = 8
A1 = 422,	 pwm = 131,	 tach = 8
A1 = 422,	 pwm = 131,	 tach = 8
A1 = 422,	 pwm = 131,	 tach = 9
A1 = 425,	 pwm = 132,	 tach = 8
A1 = 444,	 pwm = 138,	 tach = 8
A1 = 444,	 pwm = 138,	 tach = 8
A1 = 444,	 pwm = 138,	 tach = 8
A1 = 445,	 pwm = 139,	 tach = 8
A1 = 462,	 pwm = 144,	 tach = 9
A1 = 466,	 pwm = 145,	 tach = 8
A1 = 466,	 pwm = 145,	 tach = 9
A1 = 468,	 pwm = 146,	 tach = 8
A1 = 479,	 pwm = 149,	 tach = 9
A1 = 480,	 pwm = 150,	 tach = 10
A1 = 480,	 pwm = 150,	 tach = 9
A1 = 485,	 pwm = 151,	 tach = 9
A1 = 503,	 pwm = 157,	 tach = 9
A1 = 503,	 pwm = 157,	 tach = 9
A1 = 503,	 pwm = 157,	 tach = 9
A1 = 509,	 pwm = 159,	 tach = 9
A1 = 518,	 pwm = 161,	 tach = 9
A1 = 519,	 pwm = 162,	 tach = 9
A1 = 519,	 pwm = 162,	 tach = 9
A1 = 527,	 pwm = 164,	 tach = 9
A1 = 538,	 pwm = 168,	 tach = 9
A1 = 538,	 pwm = 168,	 tach = 10
A1 = 538,	 pwm = 168,	 tach = 9
A1 = 545,	 pwm = 170,	 tach = 10
A1 = 545,	 pwm = 170,	 tach = 9
A1 = 545,	 pwm = 170,	 tach = 11
A1 = 551,	 pwm = 172,	 tach = 9
A1 = 564,	 pwm = 176,	 tach = 10
A1 = 566,	 pwm = 176,	 tach = 9
A1 = 566,	 pwm = 176,	 tach = 10
A1 = 571,	 pwm = 178,	 tach = 10
A1 = 585,	 pwm = 182,	 tach = 10
A1 = 585,	 pwm = 182,	 tach = 10
A1 = 585,	 pwm = 182,	 tach = 10
A1 = 591,	 pwm = 184,	 tach = 10
A1 = 606,	 pwm = 189,	 tach = 10
A1 = 606,	 pwm = 189,	 tach = 10
A1 = 606,	 pwm = 189,	 tach = 10
A1 = 606,	 pwm = 189,	 tach = 10
A1 = 607,	 pwm = 189,	 tach = 11
A1 = 607,	 pwm = 189,	 tach = 10
A1 = 606,	 pwm = 189,	 tach = 10
A1 = 605,	 pwm = 189,	 tach = 10
A1 = 606,	 pwm = 189,	 tach = 11
A1 = 606,	 pwm = 189,	 tach = 10
A1 = 606,	 pwm = 189,	 tach = 10
A1 = 606,	 pwm = 189,	 tach = 11
A1 = 606,	 pwm = 189,	 tach = 10
A1 = 606,	 pwm = 189,	 tach = 10
A1 = 606,	 pwm = 189,	 tach = 12
A1 = 606,	 pwm = 189,	 tach = 11
A1 = 606,	 pwm = 189,	 tach = 12
A1 = 607,	 pwm = 189,	 tach = 10
A1 = 606,	 pwm = 189,	 tach = 10
A1 = 606,	 pwm = 189,	 tach = 11
A1 = 606,	 pwm = 189,	 tach = 10
A1 = 606,	 pwm = 189,	 tach = 11
A1 = 606,	 pwm = 189,	 tach = 11
A1 = 606,	 pwm = 189,	 tach = 10
A1 = 606,	 pwm = 189,	 tach = 10
A1 = 606,	 pwm = 189,	 tach = 11
A1 = 606,	 pwm = 189,	 tach = 11
A1 = 607,	 pwm = 189,	 tach = 10
A1 = 611,	 pwm = 190,	 tach = 11
A1 = 619,	 pwm = 193,	 tach = 10
A1 = 619,	 pwm = 193,	 tach = 11
A1 = 619,	 pwm = 193,	 tach = 11
A1 = 628,	 pwm = 196,	 tach = 10
A1 = 628,	 pwm = 196,	 tach = 10
A1 = 628,	 pwm = 196,	 tach = 11
A1 = 631,	 pwm = 197,	 tach = 10
A1 = 642,	 pwm = 200,	 tach = 11
A1 = 642,	 pwm = 200,	 tach = 10
A1 = 642,	 pwm = 200,	 tach = 11
A1 = 651,	 pwm = 203,	 tach = 11
A1 = 657,	 pwm = 205,	 tach = 10
A1 = 657,	 pwm = 205,	 tach = 11
A1 = 656,	 pwm = 205,	 tach = 11
A1 = 662,	 pwm = 206,	 tach = 12
A1 = 663,	 pwm = 207,	 tach = 10
